res,expres,CODE,EDID,DTD,CVT,RB,DATE,DMTID,STDID,CVTID,VIC,HVIC,AR,HTOT,HRES,HSPD,HSPW,HSPP,SCAN,VRAT,VTOT,VRES,VSPD,VSPW,VSPP,PCLK,|,780C,780C,780C,780D 780E,780D 780E,780D 780E,780C 780D 780E,HDBASETIN1,HDMIIN1,HDMIIN2,HDMIINRX,VGAIN1,HDBASETOUT1,HDMIOUT1
1024x768@60_DMT,Null,DMT1060,DMT1060,1,0,0,09/10/91,10,6140,Null,0,Null,Null,1344,1024,24,136,-,prog,60.01,806,768,3,6,-,65,|,x,x,x,x,x,x,,x,x,x,x,x,x,x
1024x768@60_HWP,Null,*HWP1060,HWP1060,1,0,0,Null,Null,Null,Null,0,Null,Null,1344,1024,64,128,-,prog,60,795,768,3,3,-,64.1088,|,x,x,x,x,x,x,,,,,,,,
1024x768@70_DMT,Null,DMT1070,DMT1070,1,0,0,08/09/91,11,614A,Null,0,Null,Null,1328,1024,24,136,-,prog,70.07,806,768,3,6,-,75,|,x,x,x,x,x,x,,x,x,x,x,x,x,x
1024x768@70_IBM,Null,*IBM1070,IBM1070,1,0,0,Null,Null,Null,Null,0,Null,Null,1368,1024,18,273,-,prog,70.01,804,768,0,8,+,77,|,x,x,x,x,x,x,,,,,,,,
1024x768@75_APP,Null,APP1075,APP1075,1,0,0,Null,Null,Null,Null,0,Null,Null,1328,1024,32,96,-,prog,74.93,804,768,3,3,-,80,|,x,x,x,x,x,x,,,,,,,,
1024x768@75_CVT,Null,*CVT1075,CVT1075,1,0,0,Null,Null,Null,Null,0,Null,Null,1360,1024,64,104,-,prog,74.9,805,768,3,4,+,82,|,x,x,x,x,x,x,,,,,,,,
1024x768@75_DMT,Null,DMT1075,DMT1075,1,0,0,10/04/93,12,614F,Null,0,Null,Null,1312,1024,16,96,+,prog,75.03,800,768,1,3,+,78.75,|,x,x,x,x,x,x,,x,x,x,x,x,x,x
1024x768@85_CVT,Null,*CVT1085,CVT1085,1,0,0,Null,Null,Null,Null,0,Null,Null,1376,1024,72,104,-,prog,84.89,809,768,3,4,+,94.5,|,x,x,x,x,x,x,,,,,,,,
1024x768@85_DMT,Null,DMT1085,DMT1085,1,0,0,03/01/96,13,6159,Null,0,Null,Null,1376,1024,48,96,+,prog,85,808,768,1,3,+,94.5,|,x,x,x,x,x,x,,x,x,x,x,x,,
1024x768@120_CVR,Null,*CVR1012,CVR1012,1,2,1,2005/1/7,14,Null,Null,0,Null,Null,1184,1024,48,32,+,prog,119.99,813,768,3,4,-,115.5004,|,x,x,x,x,x,x,,,,,,,,
1064x600@50_CVT,Null,*CVT1050H,CVT1050H,1,0,0,Null,Null,Null,Null,0,Null,Null,1320,1064,24,104,-,prog,49.71,621,600,3,5,+,40.75,|,x,x,x,x,x,x,,,,,,,,
1064x600@60_CVR,Null,*CVR1060H,CVR1060H,1,0,0,Null,Null,Null,Null,0,Null,Null,1224,1064,48,32,+,prog,59.82,618,600,3,5,-,45.25,|,x,x,x,x,x,x,,,,,,,,
1064x600@60_CVT,Null,*CVT1060H,CVT1060H,1,0,0,Null,Null,Null,Null,0,Null,Null,1352,1064,40,104,-,prog,59.86,624,600,3,5,+,50.5,|,x,x,x,x,x,x,,,,,,,,
1064x600@75_CVT,Null,*CVT1075H,CVT1075H,1,0,0,Null,Null,Null,Null,0,Null,Null,1384,1064,56,104,-,prog,74.95,629,600,3,5,+,65.25,|,x,x,x,x,x,x,,,,,,,,
1064x600@85_CVT,Null,*CVT1085H,CVT1085H,1,0,0,Null,Null,Null,Null,0,Null,Null,1400,1064,56,112,-,prog,84.91,633,600,3,5,+,75.25,|,x,x,x,x,x,x,,,,,,,,
1024x768i@43_DMT,1024x384,DMT1043,DMT1043,1,0,0,Null,Null,Null,Null,0,Null,Null,1264,1024,8,176,+,int,86.96,408,384,0,4,+,44.8998,|,x,x,x,x,x,x,,,,,,,,
1152x720@50_CVT,Null,*CVT1150D,CVT1150D,1,0,0,Null,Null,Null,Null,0,Null,Null,1472,1152,48,112,-,prog,49.76,744,720,3,6,+,54.5,|,x,x,x,x,x,x,,,,,,,,
1152x720@60_CVR,Null,*CVR1160D,CVR1160D,1,0,0,Null,Null,Null,Null,0,Null,Null,1312,1152,48,32,+,prog,59.92,741,720,3,6,-,58.25,|,x,x,x,x,x,x,,,,,,,,
1152x720@60_CVT,Null,*CVT1160D,CVT1160D,1,0,0,Null,Null,Null,Null,0,Null,Null,1488,1152,56,112,-,prog,59.97,748,720,3,6,+,66.75,|,x,x,x,x,x,x,,,,,,,,
1152x720@75_CVT,Null,*CVT1175D,CVT1175D,1,0,0,Null,Null,Null,Null,0,Null,Null,1520,1152,64,120,-,prog,74.72,755,720,3,6,+,85.75,|,x,x,x,x,x,x,,,,,,,,
1152x720@85_CVT,Null,*CVT1185D,CVT1185D,1,0,0,Null,Null,Null,Null,0,Null,Null,1536,1152,72,120,-,prog,84.92,759,720,3,6,+,99,|,x,x,x,x,x,x,,,,,,,,
1152x864@60_CVR,Null,*CVR1160,CVR1160,1,0,0,Null,Null,Null,Null,0,Null,Null,1312,1152,48,32,+,prog,59.8,889,864,3,4,-,69.7499,|,x,x,x,x,x,x,,,,,,,,
1152x864@60_CVT,Null,*CVT1160,CVT1160,1,0,0,Null,Null,Null,Null,0,Null,Null,1520,1152,64,120,-,prog,59.96,897,864,3,4,+,81.7502,|,x,x,x,x,x,x,,,,,,,,
1152x864@70_DMT,Null,*DMT1170,DMT1170,1,0,0,03/01/96,15,714F,Null,0,Null,Null,1480,1152,32,96,+,prog,70.01,912,864,1,3,+,94.5,|,x,x,x,x,x,x,,,,,,,,
1152x864@75_DMT,Null,DMT1175,DMT1175,1,0,0,Null,Null,Null,Null,0,Null,Null,1600,1152,64,128,+,prog,75,900,864,1,3,+,108,|,x,x,x,x,x,x,,x,x,x,x,x,,
1152x864@85_DMT,Null,*DMT1185,DMT1185,1,0,0,Null,Null,Null,Null,0,Null,Null,1576,1152,64,128,+,prog,85,907,864,1,3,+,121.5,|,x,x,x,x,x,x,,,,,,,,
1152x870@75_APP,Null,APP1175,APP1175,1,0,0,Null,Null,Null,Null,0,Null,Null,1456,1152,32,128,-,prog,75.06,915,870,3,3,-,100,|,x,x,x,x,x,x,,,,,,,,
1224x768@50_CVT,Null,*CVT1250D,CVT1250D,1,0,0,Null,Null,Null,Null,0,Null,Null,1576,1224,56,120,-,prog,49.81,793,768,3,6,+,62.25,|,x,x,x,x,x,x,,,,,,,,
1224x768@60_CVR,Null,*CVR1260D,CVR1260D,1,0,0,Null,Null,Null,Null,0,Null,Null,1384,1224,48,32,+,prog,59.91,790,768,3,6,-,65.5,|,x,x,x,x,x,x,,,,,,,,
1224x768@60_CVT,Null,*CVT1260D,CVT1260D,1,0,0,Null,Null,Null,Null,0,Null,Null,1592,1224,64,120,-,prog,59.82,798,768,3,6,+,76,|,x,x,x,x,x,x,,,,,,,,
1224x768@75_CVT,Null,*CVT1275D,CVT1275D,1,0,0,Null,Null,Null,Null,0,Null,Null,1624,1224,72,128,-,prog,74.77,805,768,3,6,+,97.75,|,x,x,x,x,x,x,,,,,,,,
1224x768@85_CVT,Null,*CVT1285D,CVT1285D,1,0,0,Null,Null,Null,Null,0,Null,Null,1640,1224,80,128,-,prog,84.79,809,768,3,6,+,112.5,|,x,x,x,x,x,x,,,,,,,,
1280x720@50_CVT,Null,*CVT1250H,CVT1250H,1,0,0,Null,Null,Null,Null,0,Null,Null,1632,1280,48,128,-,prog,49.83,744,720,3,5,+,59.4,|,x,x,x,x,x,x,,,,,,,,
1280x720@60_CVR,Null,*CVR1260H,CVR1260H,1,0,0,Null,Null,Null,Null,0,Null,Null,1440,1280,48,32,+,prog,59.98,741,720,3,5,-,64,|,x,x,x,x,x,x,,,,,,,,
1280x720@60_CVT,Null,*CVT1260H,CVT1260H,1,0,0,Null,Null,Null,Null,0,Null,Null,1664,1280,64,128,-,prog,59.86,748,720,3,5,+,74.5,|,x,x,x,x,x,x,,,,,,x,,
1280x720@75_CVT,Null,*CVT1275H,CVT1275H,1,0,0,Null,Null,Null,Null,0,Null,Null,1696,1280,80,128,-,prog,74.78,755,720,3,5,+,95.75,|,x,x,x,x,x,x,,,,,,,,
1280x720@85_CVT,Null,*CVT1285H,CVT1285H,1,0,0,Null,Null,Null,Null,0,Null,Null,1712,1280,80,136,-,prog,84.85,759,720,3,5,+,110.25,|,x,x,x,x,x,x,,,,,,,,
1280x720@60,Null,1280x720_60Hz,1280x720,1,0,0,Null,Null,Null,Null,0,Null,Null,1696,1280,48,176,+,prog,60.21,750,720,4,8,+,76.5914,|,x,x,x,x,x,x,,,,,,,,
1280x720@60_CVT_2,Null,CVT1260H,CVT1260H,1,0,0,Null,Null,Null,Null,0,Null,Null,1664,1280,64,128,-,prog,59.86,748,720,3,5,+,74.5,|,x,x,x,x,x,x,,x,x,x,x,,,
1280x720p@23_16:9,Null,720p23,Null,0,0,0,Null,Null,Null,Null,60,Null,16:09,3300,1280,1760,40,+,prog,23.98,750,720,5,5,+,59.3407,|,x,x,x,x,x,x,,,,,,,,
1280x720p@24_16:9,Null,720p24,VIC060b,0,0,0,Null,Null,Null,Null,60,Null,16:09,3300,1280,1760,40,+,prog,24,750,720,5,5,+,59.4,|,x,x,x,x,x,x,,,,,,,,
1280x720p@25_16:9,Null,720p25,VIC061,0,0,0,Null,Null,Null,Null,61,Null,16:09,3960,1280,2420,40,+,prog,25,750,720,5,5,+,74.25,|,x,x,x,x,x,x,,,,,,,,
1280x720p@29_16:9,Null,720p29,Null,0,0,0,Null,Null,Null,Null,62,Null,16:09,3300,1280,1760,40,+,prog,29.97,750,720,5,5,+,74.1758,|,x,x,x,x,x,x,,,,,,,,
1280x720p@30_16:9,Null,720p30,VIC062b,0,0,0,Null,Null,Null,Null,62,Null,16:09,3300,1280,1760,40,+,prog,30,750,720,5,5,+,74.25,|,x,x,x,x,x,x,,,,,,,,
1280x720p@50_16:9,Null,720p50,VIC019,1,0,0,Null,Null,Null,Null,19,Null,16:09,1980,1280,440,40,+,prog,50,750,720,5,5,+,74.25,|,x,x,x,x,x,x,,x,x,x,x,,x,x
1280x720p@59_16:9,Null,720p59,VIC004a,1,0,0,Null,Null,Null,Null,4,Null,16:09,1650,1280,110,40,+,prog,59.94,750,720,5,5,+,74.1758,|,x,x,x,x,x,x,,,,,,,,
1280x720p@60_16:9,Null,720p60,VIC004b,1,0,0,Null,Null,Null,Null,4,Null,16:09,1650,1280,110,40,+,prog,60,750,720,5,5,+,74.25,|,x,x,x,x,x,x,,x,x,x,x,x,x,x
1280x720p@100_16:9,Null,720p100,VIC041,1,0,0,Null,Null,Null,Null,41,Null,16:09,1980,1280,440,40,+,prog,100,750,720,5,5,+,148.25,|,x,x,x,x,x,x,,x,x,x,x,x,,
1280x720p@119_16:9,Null,720p119,VIC047a,1,0,0,Null,Null,Null,Null,47,Null,16:09,1650,1280,110,40,+,prog,119.89,750,720,5,5,+,148.3517,|,x,x,x,x,x,x,,,,,,,,
1280x720p@120_16:9,Null,720p120,VIC047b,1,0,0,Null,Null,Null,Null,47,Null,16:09,1650,1280,110,40,+,prog,120,750,720,5,5,+,148.5,|,x,x,x,x,x,x,,x,x,x,x,x,,
1280x720p@23_64:27,Null,720p23SB,Null,0,0,0,Null,Null,Null,Null,65,Null,Null,3300,1280,1760,40,+,prog,23.98,750,720,5,5,+,59.3407,|,x,x,x,x,x,x,,,,,,,,
1280x720p@24_64:27,Null,720p24SB,VIC065b,0,0,0,Null,Null,Null,Null,65,Null,Null,3300,1280,1760,40,+,prog,24,750,720,5,5,+,59.4,|,x,x,x,x,x,x,,,,,,,,
1280x720p@25_64:27,Null,720p25SB,VIC066,0,0,0,Null,Null,Null,Null,66,Null,Null,3960,1280,2420,40,+,prog,25,750,720,5,5,+,74.25,|,x,x,x,x,x,x,,,,,,,,
1280x720p@29_64:27,Null,720p29SB,Null,0,0,0,Null,Null,Null,Null,67,Null,Null,3300,1280,1760,40,+,prog,29.97,750,720,5,5,+,74.1758,|,x,x,x,x,x,x,,,,,,,,
1280x720p@30_64:27,Null,720p30SB,VIC067b,0,0,0,Null,Null,Null,Null,67,Null,Null,3300,1280,1760,40,+,prog,30,750,720,5,5,+,74.25,|,x,x,x,x,x,x,,,,,,,,
1280x720p@50_64:27,Null,720p50SB,VIC068,1,0,0,Null,Null,Null,Null,68,Null,Null,1980,1280,440,40,+,prog,50,750,720,5,5,+,74.25,|,x,x,x,x,x,x,,,,,,,,
1280x720p@59_64:27,Null,720p59SB,VIC069a,1,0,0,Null,Null,Null,Null,69,Null,Null,1650,1280,110,40,+,prog,59.94,750,720,5,5,+,74.1758,|,x,x,x,x,x,x,,,,,,,,
1280x720p@60_64:27,Null,720p60SB,VIC069b,1,0,0,Null,Null,Null,Null,69,Null,Null,1650,1280,110,40,+,prog,60,750,720,5,5,+,74.25,|,x,x,x,x,x,x,,,,,,,,
1280x720p@100_64:27,Null,720p100SB,VIC070,1,0,0,Null,Null,Null,Null,70,Null,Null,1980,1280,440,40,+,prog,100,750,720,5,5,+,148.25,|,x,x,x,x,x,x,,,,,,,,
1280x720p@119_64:27,Null,720p119SB,VIC071a,1,0,0,Null,Null,Null,Null,71,Null,Null,1650,1280,110,40,+,prog,119.89,750,720,5,5,+,148.3517,|,x,x,x,x,x,x,,,,,,,,
1280x720p@120_64:27,Null,720p120SB,VIC071b,1,0,0,Null,Null,Null,Null,71,Null,Null,1650,1280,110,40,+,prog,120,750,720,5,5,+,148.5,|,x,x,x,x,x,x,,,,,,,,
1280x768@50_CVT,Null,*CVT1250E,CVT1250E,1,0,0,Null,Null,Null,Null,0,Null,Null,1648,1280,56,128,-,prog,49.93,793,768,3,7,+,65.25,|,x,x,x,x,x,x,,,,,,,,
1280x768@60_CVR,Null,*CVR1260E,CVR1260E,1,1,1,08/21/03,16,Null,7F1C21,0,Null,Null,1440,1280,48,32,+,prog,60,790,768,3,7,-,68.25,|,x,x,x,x,x,x,,,,,,,,
#1280x768@59_CVT,Null,Null,Null,1,0,0,Null,Null,Null,Null,0,Null,Null,Null,1280,Null,Null,Null,Null,0,Null,768,Null,Null,Null,0,|,,,,,,,,,,,,,,
1280x768@60_CVT,Null,CVT1260E,CVT1260E,1,1,0,08/21/03,17,Null,7F1C28,0,Null,Null,1664,1280,64,128,-,prog,59.87,798,768,3,7,+,79.5,|,x,x,x,x,x,x,,x,x,x,x,x,x,x
#1280x768@60_DMT,Null,Null,Null,1,0,0,Null,Null,Null,Null,0,Null,Null,Null,1280,Null,Null,Null,Null,0,Null,768,Null,Null,Null,0,|,,,,,,,,,,,,,,
#1280x768@74_DMT,Null,Null,Null,1,0,0,Null,Null,Null,Null,0,Null,Null,Null,1280,Null,Null,Null,Null,0,Null,768,Null,Null,Null,0,|,,,,,,,,,,,,,,
1280x768@75_CVT,Null,CVT1275E,CVT1275E,1,1,0,08/21/03,18,Null,7F1C44,0,Null,Null,1696,1280,80,128,-,prog,74.89,805,768,3,7,+,102.25,|,x,x,x,x,x,x,,x,x,x,x,x,,
#1280x768@75_DMT,Null,Null,Null,1,0,0,Null,Null,Null,Null,0,Null,Null,Null,1280,Null,Null,Null,Null,0,Null,768,Null,Null,Null,0,|,,,,,,,,,,,,,,
#1280x768@84_DMT,Null,Null,Null,1,0,0,Null,Null,Null,Null,0,Null,Null,Null,1280,Null,Null,Null,Null,0,Null,768,Null,Null,Null,0,|,,,,,,,,,,,,,,
1280x768@85_CVT,Null,CVT1285E,CVT1285E,1,1,0,08/21/03,19,Null,7F1C62,0,Null,Null,1712,1280,80,136,-,prog,84.84,809,768,3,7,+,117.5,|,x,x,x,x,x,x,,x,x,x,x,x,,
#1280x768@85_DMT,Null,Null,Null,1,0,0,Null,Null,Null,Null,0,Null,Null,Null,1280,Null,Null,Null,Null,0,Null,768,Null,Null,Null,0,|,,,,,,,,,,,,,,
1280x768@120_CVR,Null,*CVR1212E,CVR1212E,1,2,1,2005/1/7,1A,Null,Null,0,Null,Null,1440,1280,48,32,+,prog,119.8,813,768,3,7,-,140.2502,|,x,x,x,x,x,x,,,,,,,,
1280x800@50_CVT,Null,*CVT1250_,CVT1250_,1,0,0,Null,Null,Null,Null,0,Null,Null,1648,1280,56,128,-,prog,49.96,826,800,3,6,+,67.9998,|,x,x,x,x,x,x,,,,,,,,
1280x800@60_CVT,Null,*CVT1260F,CVT1260F,1,0,0,Null,Null,Null,Null,0,Null,Null,1680,1280,72,128,-,prog,59.81,831,800,3,6,+,83.5,|,x,x,x,x,x,x,,x,x,x,x,x,x,x
1280x800@60_DMR,Null,*DMR1260D,DMR1260D,1,1,1,2005/1/7,1B,Null,8F1821,0,Null,Null,1440,1280,48,32,+,prog,59.91,823,800,3,6,-,71.0006,|,x,x,x,x,x,x,,,,,,,,
1280x800@60_DMT,Null,*DMT1260D,DMT1260D,1,1,0,2005/1/7,1C,8100,8F182b,0,Null,Null,1680,1280,72,128,-,prog,59.81,831,800,3,6,+,83.4994,|,x,x,x,x,x,x,,x,x,x,x,,,
1280x800@75_CVT,Null,*CVT1275_,CVT1275_,1,1,0,2005/1/7,1D,810F,8F1844,0,Null,Null,1696,1280,80,128,-,prog,74.93,838,800,3,6,+,106.5003,|,x,x,x,x,x,x,,,,,,,,
1280x800@85_CVT,Null,*CVT1285_,CVT1285_,1,1,0,2005/1/7,1E,8119,8F1862,0,Null,Null,1712,1280,80,136,-,prog,84.88,843,800,3,6,+,122.5004,|,x,x,x,x,x,x,,,,,,,,
1280x800@120_CVT,Null,*CVR1212D,CVR1212D,1,2,1,2005/1/7,1F,Null,Null,0,Null,Null,1440,1280,48,32,-,prog,119.91,847,800,3,6,+,146.2507,|,x,x,x,x,x,x,,,,,,,,
1280x960@50_CVT,Null,*CVT1250,CVT1250,1,0,0,Null,Null,Null,Null,0,Null,Null,1680,1280,72,128,-,prog,49.85,991,960,3,4,+,83,|,x,x,x,x,x,x,,,,,,,,
1280x960@60_CVR,Null,*CVR1260,CVR1260,1,0,0,Null,Null,Null,Null,0,Null,Null,1440,1280,48,32,+,prog,59.92,988,960,3,4,-,85.25,|,x,x,x,x,x,x,,,,,,,,
1280x960@60_CVT,Null,*CVT1260,CVT1260,1,0,0,Null,Null,Null,Null,0,Null,Null,1696,1280,80,128,-,prog,59.94,996,960,3,4,+,101.25,|,x,x,x,x,x,x,,,,,,,,
1280x960@60_DMT,Null,DMT1260,DMT1260,1,0,0,03/01/96,20,8140,Null,0,Null,Null,1800,1280,96,112,+,prog,60,1000,960,1,3,+,108,|,x,x,x,x,x,x,,x,x,x,x,x,,
1280x960@75_CVT,Null,*CVT1275,CVT1275,1,0,0,Null,Null,Null,Null,0,Null,Null,1728,1280,88,136,-,prog,74.86,1005,960,3,4,+,130,|,x,x,x,x,x,x,,,,,,,,
1280x960@75_DMT,Null,*DMT1275,DMT1275,1,0,0,Null,Null,Null,Null,0,Null,Null,1680,1280,32,144,+,prog,75,1000,960,1,3,+,126,|,x,x,x,x,x,x,,,,,,,,
1280x960@85_CVT,Null,*CVT1285,CVT1285,1,0,0,Null,Null,Null,Null,0,Null,Null,1728,1280,88,136,-,prog,84.86,1011,960,3,4,+,148.25,|,x,x,x,x,x,x,,,,,,,,
1280x960@85_DMT,Null,DMT1285,DMT1285A,1,0,0,03/01/96,21,8159,Null,0,Null,Null,1728,1280,64,160,+,prog,85.01,1011,960,1,3,+,148.5,|,x,x,x,x,x,x,,x,x,x,x,x,,
1280x960@120_CVR,Null,*CVR1212,CVR1212,1,2,1,2005/1/7,22,Null,Null,0,Null,Null,1440,1280,48,32,+,prog,119.84,1017,960,3,4,-,175.5,|,,x,x,,x,x,,,,,,,,
1280x1024@43_DMT,1280x512,*DMT1243G,DMT1243G,1,0,0,Null,Null,Null,Null,0,Null,Null,1696,1280,64,80,+,int,86.87,534,1024,1,3,+,78.75,|,x,x,x,x,x,x,,,,,,,,
1280x1024@50_CVT,Null,*CVT1250G,CVT1250G,1,0,0,Null,Null,Null,Null,0,Null,Null,1680,1280,72,128,-,prog,49.84,1057,1024,3,7,+,88.5,|,x,x,x,x,x,x,,,,,,,,
1280x1024@60_CVR,Null,*CVR1260G,CVR1260G,1,0,0,Null,Null,Null,Null,0,Null,Null,1440,1280,48,32,+,prog,59.96,1054,1024,3,7,-,91,|,x,x,x,x,x,x,,,,,,,,
1280x1024@60_CVT,Null,*CVT1260G,CVT1260G,1,0,0,Null,Null,Null,Null,0,Null,Null,1712,1280,80,136,-,prog,59.9,1063,1024,3,7,+,109,|,x,x,x,x,x,x,,,,,,,,
1280x1024@60_DMT,Null,DMT1260G,DMT1260G,1,0,0,12/18/96,23,8180,Null,0,Null,Null,1688,1280,48,112,+,prog,60.02,1066,1024,1,3,+,108,|,x,x,x,x,x,x,,x,x,x,x,x,x,x
1280x1024@75_CVT,Null,*CVT1275G,CVT1275G,1,0,0,Null,Null,Null,Null,0,Null,Null,1728,1280,88,136,-,prog,74.902,1072,1024,3,7,+,138.75,|,x,x,x,x,x,x,,,,,,,,
1280x1024@75_DMT,Null,DMT1275G,DMT1275G,1,0,0,10/04/93,24,818F,Null,0,Null,Null,1688,1280,16,144,+,prog,75.03,1066,1024,1,3,+,135,|,x,x,x,x,x,x,,x,x,x,x,x,,
1280x1024@85_CVT,Null,*CVT1285G,CVT1285G,1,0,0,Null,Null,Null,Null,0,Null,Null,1744,1280,96,136,-,prog,84.84,1078,1024,3,7,+,159.5,|,x,x,x,x,x,x,,,,,,,,
1280x1024@85_DMT,Null,DMT1285G,DMT1285G,1,0,0,03/01/96,25,8199,Null,0,Null,Null,1728,1280,64,160,+,prog,85.02,1072,1024,1,3,+,157.5,|,x,x,x,x,x,x,,x,x,x,x,x,,
1280x1024@96_DMT,Null,DMT1296G,DMT1296G,1,0,0,Null,Null,Null,Null,0,Null,Null,1760,1280,12,18,+,prog,96.01,1082,1024,1,3,+,182.8147,|,,x,x,,x,x,,,,,,,,
1280x1024@120_CVR,Null,*CVR1212G,CVR1212G,1,2,1,2005/1/7,26,Null,Null,0,Null,Null,1440,1280,48,32,+,prog,119.96,1084,1024,3,7,-,187.2504,|,,x,x,,x,x,,,,,,,,
#1360x764@60_CVT,Null,Null,Null,1,0,0,Null,Null,Null,Null,0,Null,Null,Null,1360,Null,Null,Null,Null,0,Null,764,Null,Null,Null,0,|,,,,,,,,,,,,,,
1360x768@50_CVT,Null,*CVT1350H,CVT1350H,1,0,0,Null,Null,Null,Null,0,Null,Null,1744,1360,56,136,-,prog,49.89,793,768,3,5,+,69,|,x,x,x,x,x,x,,,,,,,,
1360x768@60_CVR,Null,*CVR1360H,CVR1360H,1,0,0,Null,Null,Null,Null,0,Null,Null,1520,1360,48,32,+,prog,59.96,790,768,3,5,-,72,|,x,x,x,x,x,x,,,,,,,,
1360x768@60_CVT,Null,*CVT1360H,CVT1360H,1,0,0,Null,Null,Null,Null,0,Null,Null,1776,1360,72,136,-,prog,59.8,798,768,3,5,+,84.75,|,x,x,x,x,x,x,,,,,,,,
1360x768@60_DMT,Null,DMT1360H,DMT1360H,1,0,0,08/21/03,27,Null,Null,0,Null,Null,1792,1360,64,112,+,prog,60.02,795,768,3,6,+,85.4999,|,,x,x,,x,x,,x,x,x,x,x,x,x
1360x768@75_CVT,Null,*CVT1375H,CVT1375H,1,0,0,Null,Null,Null,Null,0,Null,Null,1808,1360,80,144,-,prog,74.89,805,768,3,5,+,109,|,x,x,x,x,x,x,,,,,,,,
1360x768@85_CVT,Null,*CVT1385H,CVT1385H,1,0,0,Null,Null,Null,Null,0,Null,Null,1824,1360,88,144,-,prog,84.88,809,768,3,5,+,125.25,|,x,x,x,x,x,x,,,,,,,,
1360x768@120_CVR,Null,*CVR1312H,CVR1312H,1,2,1,2005/1/7,28,Null,Null,0,Null,Null,1520,1360,48,32,+,prog,119.97,813,768,3,5,-,148.2502,|,x,x,x,x,x,x,,,,,,,,
1365x1024@60,Null,1365x1024_60Hz,1365A,1,0,0,Null,Null,Null,Null,0,Null,Null,1840,1365,55,120,+,prog,60,1087,1024,12,3,+,119.9993,|,x,x,x,x,x,x,,,,,,,,
1365x1024@75,Null,1365x1024_75Hz,1365B,1,0,0,Null,Null,Null,Null,0,Null,Null,1800,1365,32,136,+,prog,75.12,1065,1024,3,3,+,144,|,x,x,x,x,x,x,,,,,,,,
1366x768@60_DMR,Null,*DMR1360H,DMR1360H,1,2,0,Null,Null,Null,Null,0,Null,Null,1500,1366,14,56,+,prog,60,800,768,1,3,+,72,|,x,x,x,x,x,x,,,,,,,,
1366x768@60_DMT,Null,*DMT1360_,DMT1360_,1,0,0,Null,Null,Null,Null,0,Null,Null,1792,1366,70,143,+,prog,59.79,798,768,3,3,+,85.4999,|,x,x,x,x,x,x,,x,x,x,x,x,,
1400x788@60,Null,1400x788_60Hz,1400x788,1,0,0,Null,Null,Null,Null,0,Null,Null,1800,1400,40,112,-,prog,59.94,850,788,1,3,-,91.71,|,x,x,x,x,x,x,,,,,,,,
1400x1050@50_CVT,Null,*CVT1450,CVT1450,1,0,0,Null,Null,Null,Null,0,Null,Null,1848,1400,80,144,-,prog,49.97,1083,1050,3,4,+,100,|,x,x,x,x,x,x,,,,,,,,
1400x1050@50_CVR,Null,*CVR1450,CVR1450,1,1,1,08/21/03,29,Null,0C2021,0,Null,Null,1560,1400,48,32,+,prog,59.95,1080,1050,3,4,-,101,|,x,x,x,x,x,x,,,,,,,,
1400x1050@60_CVT,Null,*CVT1460,CVT1460,1,0,0,Null,Null,Null,Null,0,Null,Null,1864,1400,88,144,+,prog,59.98,1089,1050,3,4,-,100,|,x,x,x,x,x,x,,x,x,x,x,,,
1400x1050@60_DMT,Null,DMT1460,DMT1460,1,1,0,08/21/03,2A,9040,0C2028,0,Null,Null,1864,1400,88,144,-,prog,59.98,1089,1050,3,4,+,121.7546,|,x,x,x,x,x,x,,,,,,x,x,x
